index,company,job,company_intro,work,job_require,preference,url,job_require2
DE1,악어디지털,딥러닝모델개발자, 회사소개    악어디지털은 지난 2014년 문서 전자화 O2O 서비스 제공 기업으로 출발해 이후 AI 기반 OCR 문자인식   RPA 로봇 프로세스 자동화  기반 BPO 업무처리 아웃소싱  서비스를 제공하고 있는 국내 AI OCR 선두 기업으로써 대통령기록관  검찰  삼성SDS 등 중소  중견  대기업은 물론 공공 분야의 300여 개 고객사와 협업하고 있습니다   악어디지털이 구축한 아시아 최대의 문서 전자화 목적의 디지털 센터는 문서가 전자화되는 과정에서 위 변조를 차단하기 위한 물리적 보안 시설과 대량 생산을 가능케 하는 소프트웨어 공정 기술을 보유하고 있으며 AI OCR 기술을 활용하여 문서 수거부터 스캔   전자화 이후 원본 보관 및 파기에 이르기까지의 모든 과정을 통합한 원스톱 서비스를 제공하고 있습니다   2021년 7월  누적 투자유치액 300억원을 달성하였으며  국내를 넘어 아시아 최대의 디지털 트랜스포메이션 플랫폼으로 도약하기 위해 AI 기술 고도화를 위한 R amp D  사업 개발 등 전 분야에서 박차를 가하고 있습니다    연구 개발 부문의 장점   1  네이버와 안랩 출신 임원진을 중심으로 체계화된 개발 문화와 함께 구성원 개인의 장점을 살리며 다양한 성장의 기회를 부여합니다  2  AWS  Azure  G Cloud 기반의 다양한 클라우드 기술을 경험할 수 있는 개발 환경을 제공합니다  3  특정 개발 언어나 프레임워크에 종속되지 않고 C   Python  닷넷  Java Spring  react js  vue js와 같이 개발자 친화적인 환경을 제공합니다  4  구글 G Workspace  notion 기반으로 구성원 간에 이메일 및 문서 통합 환경을 제공합니다  5  아틀라시안의 협업 도구를 통해 구성원 및 이해관계자 간에 원만한 커뮤니케이션을 할 수 있는 환경을 제공합니다 ,  데이터분석   딥러닝 모델 훈련 및 모니터링   데이터 파이프라인 시스템 설계  개발 및 운영,  2년 이상 경력자   python을 이용한 프로그램 작성 경험   딥러닝 프레임워크 Tensorflow  Torch  Keras 등 사용 경험   MLOps 프레임워크 개발 경험  Kubeflow  MLflow 등    백엔드 경험,  OCR 데이터 활용 경험   스캔된 문서 처리 경험,https://www.wanted.co.kr/wd/132626,python을 이용한 프로그램 작성 경험   딥러닝 프레임워크 Tensorflow  Torch  Keras 등 사용 경험   MLOps 프레임워크 개발 경험  Kubeflow  MLflow 등    백엔드 경험
DE2,수성엔지니어링,데이터 엔지니어 (Python specialist), 수성엔지니어링 기술연구소 개발팀 소개  수성엔지니어링은 한국 엔지니어링 업계 TOP10 안에 드는 대규모 설계 감리 기업입니다  기술연구소에서는 건설 업무를 혁신할 수 있는 기술을 연구 개발 하고 있으며 웹 개발 분야에서는 개발팀을 구성하면서 건설 업계에 널리 사용될 플랫폼을 만들어 나가고 있습니다     Data Description  amp  포지션 소개    Row Data 원시자료   건설 감리 현장을 찍은 드론 이미지들  현장 하나당 약 1000장   Row Data를 기반으로 웹 서비스에 필요한 공간데이터를 생성하고 데이터 처리 계산이 필요한 API를 개발합니다   1  Data preprocessor 개발   드론 이미지들로 현장 지역에 대한 3차원 공간데이터 생성 2  Backend 데이터 처리 API 구현   AWS Lambda 함수 작성   현재는 서비스 개발단계이며 향후 2차원 3차원 비전 데이터를 기반으로 크랙 감지  사물 분류  사용자 최적화 등의 기능 구현을 할 예정입니다    이에 따라서 비전데이터   데이터 파이프라인   Python에 많은 관심과 경험이 있는 인재를 찾고 있습니다  많은 지원 부탁드립니다 ,  Python 기반으로 공간데이터 처리 알고리즘 개발  Docker AWS ECS 환경    데이터 처리 API 개발  AWS Lambda 환경    국가 연구 과제 참여   Node js로 개발된 API 서버 배포,  Python을 능숙하게 다룰 수 있는 개발자   객체지향 프로그래밍에 대한 충분한 이해   Docker 사용 경험  amp  리눅스 환경에 익숙한 개발자   Git을 사용한 협업에 악숙한 개발자   AWS 인프라에 대한 기본적인 이해   ECS   Lambda   S3     웹 서비스 개발 경험,  Slack   Notion   GitHub등 협업툴 사용에 익숙하신 분   Node js 를 사용한 API 서버 구축 경험자   TypeScript 사용 경험자,https://www.wanted.co.kr/wd/103169,Docker 사용 경험  ECS   Lambda   S3  웹 서비스 개발 경험
DE3,아인시스에이아이랩,Data Engineer,IT 비즈니스 혁신을 선도하는 AI 스타트업  아인시스에이아이랩 이하 에이아이랩  입니다  에이아이랩은 아인시스아이엔씨의 AI 부문 자회사로서  다수의 미국 특허 취득 및 국내 최초 비지도 준지도 학습 머신러닝 엔진 AICE를 개발하였습니다  아인시스아이앤씨는 400억 원의 기업가치를 인정받은 서버 네트워크 솔루션 기업입니다  현재 시리즈 B 투자유치 중에 있으며  지속적인 시리즈 투자유치와 더불어 3년 이내 코스닥 상장을 목표로 달려나갈 예정입니다  현재 AICE를 활용한 금융 솔루션 AICE Quant와 보안 솔루션 AICE Security를 제공하고 있으며  우수성과 안전성을 인정받아 국내 최상위 국가기관 및 주요 통신사가 AICE Security를 선택하였습니다  글로벌 기업과 경쟁할 수 있는 회사에서  업계 최고의 전문가들과 함께 성장할 분들을 찾고 있습니다  AI를 통해 비즈니스 혁신을 선도하는 에이아이랩 팀에 합류하세요     에이아이랩의 개발 환경이에요     주요 기술  Rust 메인   C    QUIC  NoSQL  RDBMS  Web Assembly  GraphQL  Docker   업무 도구  Slack  Notion  Microsoft Office  Git   코드 리뷰  Github   빌드 배포 테스트  Github   OS  Mac  Linux    Data Engineer가 에이아이랩을 선택해야 하는 이유   1  Rust에 대한 높은 숙련도 에이아이랩은 Amazon  Microsoft  Meta 등 다수의 글로벌 기업에서 사용하는 가장 핫한 언어 Rust를 메인 언어로 사용해요  최고의 Rust 전문가들이 직접 코드를 리뷰하기 때문에  Rust를 가장 잘 배울 수 있는 회사라고 자부합니다   2  다수의 대형 프로젝트 경험 에이아이랩의 주 고객은 국내 최상위 정부기관과 공기업  그리고 주요 통신사를 비롯한 대기업입니다  따라서 에이아이랩에 합류하시면  자연스럽게 큰 기업들과 함께 다수의 프로젝트를 경험하실 수 있어요   3  급격히 성장하는 IT 스타트업에서의 근무 경험 에이아이랩은 현재 50억 규모의 시리즈 A 투자를 성공적으로 마무리하고  시리즈 B 투자 유치를 준비하며 급격히 성장 중이에요  또한 최고의 전문가들이 심혈을 기울여 구축한 시스템은  주니어 개발자도 개발 전 과정에 걸쳐 기여할 수 있게 합니다  에이아이랩에 합류한다면  에이아이랩 만큼이나 급격히 성장할 수 있습니다 ,  데이터 분석을 위한 알고리즘 및 개발 방향과 범위를 산정해요   데이터 수집 및 외부 데이터를 확보해요   데이터 흐름 및 파이프라인을 설계  구축하고 운영을 자동화해요   비즈니스 요구사항에 대한 적절한 인프라 및 데이터 서비스를 개발하고 운영해요   다양한 API를 통해 데이터를 처리해요,  이공계 졸업 예정자  혹은 관련 경력을 보유하신 분   네트워크 애플리케이션 개발 경험이 있으신 분   C   C    Java  Rust 중 1개 이상 코딩 경험이 있으신 분   NoSQL 구축 및 개발 경험  MongoDB  ElasticSearch  Clickhouse 등  이 있으신 분   자체 클라우드 환경에서 업무 경험이 있으신 분   Git 버전 관리 시스템 사용 경험이 있으신 분,  스타트업 업무경험이 있으신 분   Rust 개발 경험이 있으신 분   머신러닝 데이터 분석 경험이 있으신 분   컴퓨터 공학 및 관련 분야 석박사 학위를 소지하신 분   프론트엔드 백엔드 개발에 대해 높은 이해도를 가지신 분   인공지능 AI   머신러닝에 대한 관심과 열정을 보유하신 분,https://www.wanted.co.kr/wd/130687,네트워크 애플리케이션 개발 경험 C   C    Java  Rust 중 1개 이상 코딩 경험  NoSQL 구축 및 개발 경험  자체 클라우드 환경에서 업무 경험   Git 버전 관리 시스템 사용 경험
DE4,유진로봇,개발본부 AMS팀 백엔드(Back-end) 개발자, Innovation for Quality of Life with Intelligent Robot Technology 유진로봇에서 개발자 공개 채용을 진행합니다  유진로봇은 1988년에 설립된 30년차 로봇 전문 기업으로서 서비스 로봇 분야의 세계적인 기술력을 자랑하는 기업입니다  유진로봇의 개발자 공개채용을 통해 성장하는 혁신기업  유진로봇과 함께 해보세요   회사 홈페이지  회사 소개 영상  AMS Solutions 기술 소개   Robotization Package   물류로봇 GoCart 응용사례  기술중심의 제조혁신 유진로봇은 기술 중심의 회사로 R amp D에 적극적으로 투자하고 있습니다  국내 뿐만 아니라 글로벌 시장 선점을 위하여  지금 세상을 또 한번 놀라게 할 도전을 준비 중입니다   개방된 직장 문화 유연시간 근로제  간담회를 통한 소통의 길 조성  임직원간 친목도모를 위한 동호회 활동 역량강화를 위한 자기계발 지원  로봇 업계 최고 수준의 복리후생 제도로 균형 있는 삶과 구성원의 성장을 지원합니다   창의와 열정이 가치인 기업  유진로봇은 직원들의 창의적인 아이디어를 적극 수용하고 개개인이 갖고 있는 능력을 극대화하여 열정적으로 업무를 수행할 수 있도록 적극 지원하고 있습니다  같이 일하고 싶은 소중한 동료들과 함께 우리의 꿈과 미래를 실현해 보세요   유진로봇  AMS사업부 는 자율주행 모틸리티 솔루션 Autonomous Mobility Solution  사업부로 자율주행과 관련된 다양한 아이템들을 자체 개발하여 사업을 진행하고 있는 조직입니다  주요 제품으로는 1  자율주행 물류로봇 플랫폼 AMR 인 GoCart 2  기존의 수동형 장비에 자율주행 기능을 부여하는 Robotization Package 솔루션 3  자율주행의 핵심 요소인 유진3D LiDAR  등이 있습니다  국내의 경우  제조  물류  병원 등을 대상으로 당사 공장 자동화 SAS사업부와 협력사들과의 협업을 통한 Total Solution 자동화 물류로봇 을 제안 중에 있습니다  해외의 경우  유럽 및 미국 헬스케어 파트너사와 함께 다양한 프로젝트를 진행 중에 있으며  여러 파트너사들과 함께 해당 환경 내의 생태계 및 네트워크 구축을 위해 힘쓰고 있습니다 ,  서비스 운영에 필요한 로봇관리를 위한 소프트웨어 설계 및 개발    리소스 관리 프레임워크 개발    타 소프트웨어 플랫폼 및 프레임워크  SDK 설계 및 개발    엘리베이터  자동문 센서 등 여러가지 IoT 디바이스들을 서비스에 이용할 수 있도록 개발,  Javascript ES6  ES7   사용자    Database 사용 가능자    Node js 로 API 서버 개발 가능자 ,  리눅스 환경에서의 개발 익숙자    RESTful API 설계 경험자    Network  IT Security 에 대한 지식 보유자    클라우드 서비스 이용 및 구축 경험자    RDB  NoSQL DB 사용이 익숙한 사람,https://www.wanted.co.kr/wd/126811, 
DE5,스콥정보통신,"AI(인공지능), 빅데이터 개발자",  스콥정보통신은   1999년 설립 이후 RMON 기술을 이용한 네트워크 트래픽 모니터링 기술을 국내 최초로 개발하고 넷킴이  WAN Probe  Web Monster  WormSaver  IPScan  SmartIP 등 독보적인 네트워크 트래픽 모니터링 기술 및 IP주소 관리 기술을 개발 하였습니다   설립 후 20년 동안 국내에서는 미개척이나 다름없었던 트래픽 관리 및 IP주소 관리 시장에 대한 새로운 패러다임과 비전을 제시하여 왔습니다   네트워크 관리 기술의 선두주자로서의 자부심과 책임감으로 폐사는 연구 개발에 집중하여  IT기업으로서는 드물게 전 직원의 60  이상이연구 인력으로 근무하는 초 기술 집약형 기업구조를 유지하고 있습니다       스콥정보통신이 함께하고 싶은 분들은    Smart  적극적이고 균형있는 사고를 가진 스마트한 인재    Creative  시장을 선도할 수 있는 창의적인 마인드를 가진 인재   Opportunity  한발 앞서 시장을 읽고 움직여 기회를 만드는 인재   Professional  높은 목표수준과 철저한 준비를 갖춘 전문가로서의 인재   Emotion  고객에게 기대이상의 가치를 제공하는 인재   새로운 10년  기회를 만들어가는 미래의 전문가로서 글로벌 시장을 함께 견인할 동료를 찾습니다 ,  빅데이터  AI  데이터 엔지니어링 분석 및 처리   데이터 파이프라인 개발과 데이터 인프라 웨어하우스 구축    데이터 분석 및 예측 모델링,  Tensorflow  PyTorch  Keras 등 머신러닝 딥러닝 프레임워크 사용 경험자    Python   Java   Scala   Kotlin   Go 등 최소 하나 이상의 개발 언어에 능숙한 분   클라우드 환경에서의 개발 운영 경험이 있거나 그에 준하는 지식 보유   협업 대상과의 원활한 커뮤니케이션 능력,  로그시스템 및 데이터마트 Structure 설계 경험    Hadoop MR  Hive  Spark  Flink  Presto 등 빅데이터 프레임워크 사용 경험   분산 환경에서 대용량 데이터 처리 실시간 데이터 처리 경험   데이터 활용한 API 설계 및 개발 경험   AWS  GCP 등 클라우드 환경에서 IaC를 사용한 데이터 인프라 설계 및 운용 경험    NLP 자연어 처리 데이터 분석  적재  활용 경험   Tableau 등을 이용한 데이터 시각화 경험이 있으신 분   Kubernetes 등 컨테이너 오케스트레이션 시스템 운영 경험   미적분  선형대수  확률에 관한 수학 지식,https://www.wanted.co.kr/wd/129440,  Tensorflow  PyTorch  Keras 등 머신러닝 딥러닝 프레임워크 사용 경험    클라우드 환경에서의 개발 운영 경험 
DE6,스퀘어네트,[중급-자바개발자] 미디어플랫폼 개발 유지보수,스퀘어네트는 2004년에 설립된 회사로서 매출액 60억  사원수 40명 규모의 회사입니다  서울 강남구 도곡동에 위치해 있으며  시스템통합 등 기업용 ICT시스템분야  유무선 통신 및 스마트 컨버젼스서비스 사업을 하고 있습니다  케이티 등 이동통신사의 CMS 솔루션 개발 및 유지보수업무  현대자동차 등 대기업의 LCMS 시스템개발등의 업무를 수행하고 있으며  오픈소스를 이용한 교육플랫폼과 MICROSOFT와의 협업을 통해 교육콘텐츠를 제공하고 있습니다  이 외에도 국책연구과제를 다수 수행하고 있습니다 ,  kt 미디어플랫폼 개발 및 유지보수 백엔드 개발 위주   ,1  5년 이상 Java 프로그래밍 경험 필요합니다  2  5회 이상의 Spring Framework 기반 프로젝트 수행 경험 필요합니다  3  개인이 아닌 팀의 업무라는 자세를 갖추신 분 필요합니다 ,  미디어플랫폼 동영상  개발 프로젝트 수행 경험 우대  ,https://www.wanted.co.kr/wd/123572,5년 이상 Java 프로그래밍 경험 5회 이상의 Spring Framework 기반 프로젝트 수행 경험 
DE7,아이엠에이아이(ImAI),Senior AI Engineer (시니어 AI 개발자), Live Long  amp  Stay Strong   안녕하세요  ImAI입니다  ImAI는 Medical AI Solution start up으로  인공지능기술을 바탕으로 보다 건강한 삶을 추구하는 전문가들이 모인 집단입니다  우리는 국내 최고의 의료진들이 직접 수집 가공한 데이터를 기반으로 차별화된 소화기 전문 AI Solution을 제공합니다   우리는 1  의료기기와 AI의 융합을 통해 진료의 정확도를 높이고  2  과잉진료 및 오진단 등의 복잡한 문제들을 해결하며  3  개인별 맞춤형 진단과 치료방법을 제공하여 소화기 진료의 새로운 패러다임을 제시하고 더 건강한 삶을 영위할 수 있도록 돕습니다   ImAI가 가고자 하는 길은 결코 쉬운 길이 아닙니다  하지만 우리들의 기술과 노하우는 불가능 해보였던 일을 현실로 만들었고  이제는 본격적인 도약을 준비하고 있습니다    ImAI는 EndoAI 소화기 전문 AI Solution 와 주식회사 IkariaAI 생체신호 전문 AI Solution 를 아우르는 2세대 Medical AI 전문 기업입니다  EndoAI는 Series A 투자를 마친 스타트업으로 2022년도에 Series B 투자를 진행 중이며  IkariaAI는 Series A 투자를 계획하고 있습니다  추가적으로 ImAI는 새로운 Medical AI item 발굴을 통한 사업확장 또한 도모하고 있습니다        합류 여정  1  서류검토   본인의 역량이나 강점을 나타낼 수 있는 것이라면 무엇이든 알려주세요    입사지원서는 자유양식입니다  파일형태 또한 자유입니다    포트폴리오나 Github  Notion 등의 링크를 함께 보내주시면 더욱 좋습니다   2  직무 인터뷰   지원하신 포지션에 대해 함께 할 동료들과 자세히 이야기를 나눕니다    약 1시간 정도 소요되며  직무에 대해 궁금한 점들을 확인할 수 있습니다    직무에 따라 포트폴리오에 대한 프레젠테이션을 부탁드릴 수도 있어요   3  컬쳐핏 인터뷰   ImAI와 지원자님께서 서로의 방향성과 가치관에 대한 생각을 나눕니다    약 1시간 정도 소요되며  회사에 대해 더욱 깊게 알아보실 수 있습니다   4  처우협의   우리는 개인별 역량에 따른 보상패키지를 제공합니다    보상패키지와 입사일에 대한 자세한 정보는 별도로 협의합니다   5  최종합격       개발문화  우리는 최고의 개발문화를 바탕으로 세상을 더욱 건강하게 만들어가고 있으며  지금 이 순간도 더 나은 개발문화를 위해 모든 동료들이 함께 고민하고 있습니다     아이데이션 지향   모든 구성원이 자유롭게 아이디어를 제안합니다    피드백 문화   기획부터 개발까지 모든 단계에서 활발히 피드백하여 최선의 결과물을 만듭니다    사용자 관점 개발   가장 탁월한 프로덕트 경험을 선사하기 위해 개선 과업을 제안합니다    원활한 소통   공통된 목표에 빠르게 도달하기 위해 스몰토크도 활발히 진행하고 있습니다    최신 기술 스택 수용   더 나은 개발 방향성을 위해 항상 새로운 기술 스택을 고민합니다   그리고 개발자들이 고민하는 부분을 Debugging Process 를 통해 소통합니다     문제가 발생한 근본 원인 Root cause 를 잘 찾았는가   5Whys    같은 문제를 겪지 않으려면 어떻게 해야 할 것인가    피할 수 없는 문제라면 어떻게 새롭게 만들 것인가    그리고 사전적 알림을 어떻게 받을 것인가    현재 나온 대안이 최적의 방향인가   우리는 이런 기술스택들을 사용합니다    Tensorflow  Pytorch  QT  Clickhouse  MongoDB  C    Python   Docker  AWS  Github  Slack  Notion  우리는 언제나  더 나은  개발문화를 지향합니다  그래서 새로운 동료들의 다양한 의견이 필요합니다  지금 바로 합류해주세요 ,우리는 지원자님께서 합류하신다면 이런 부분에서 도움을 주시기를 희망합니다     의료영상 인공지능 개발   의료영상 데이터 기반 실시간 딥러닝구현,이런 분을 찾고 있습니다  조금 부족하다고 생각이 들더라도 자신의 능력을 발휘할 수 있다고 생각이 들면 바로 지원해주세요     C    Python 프로그래밍 언어에 능숙하며 문제해결이 가능하신 분   영상처리 관련 프로젝트 수행경험을 보유하신 분 Object Detection  Super resolution  Denoising  Deblurring 등    논문을 읽고 해당 기술에 대한 구현이 가능하신 분,이런 경험이나 성향 역량을 가진 분이라면 더욱 좋을 것 같아요     딥러닝 경량화 경험을 보유하신 분   의료영상 데이터를 이용한 실시간 모델 개발 경험을 보유하신 분   의료도메인 데이터를 이용한 기계학습 기간의 모델 개발 경험을 보유하신 분   의료인공지능 관련 과제 수행 경험을 보유하신 분   인공지능 관련 연구개발에 대한 포트폴리오 Git  기술블로그  운영에 도움을 주실 수 있는 분,https://www.wanted.co.kr/wd/122229,영상처리 관련 프로젝트 수행경험
DE8,모플,Senior Data Engineer,mofl은 AI로 실물경제의 미래를 예측하는 회사입니다  각종 소비재 회사들의 상품 미래 수요를 예측하고  이를 기반으로 공급 및 의사결정을 최적화 함으로써 버려지는 비용을 제거하고 숨어있는 가치를 창출하는 혁신적인 서비스를 제공합니다   대표적인 사례로는     패션 아이템 수요 예측을 통한 재고 관리 자동화로 품절율 amp 재고율 절반 수준 감소   택시 수요 예측을 통한 배차 최적화로 공차율 amp 승객 대기 시간 감소   원자재 가격 예측을 통한 수익 최적화  등이 있습니다   cf     월마트 글로벌 수요 예측 대회 3등   5 558팀  ,  실시간으로 대용량 데이터를 분석 하고  분석 결과를 즉시 조회합니다    확장 가능한 최적의 데이터 파이프라인 아키텍처를 만들고 유지합니다    다양한 데이터 소스에서 데이터를 최적으로 추출  변환 및 로드하는 데 필요한 인프라를 구축합니다    데이터 분석 툴을 개발하고 최적화 하는 작업에 협력합니다    백엔드 엔지니어 및 머신러닝 엔지니어와 긴밀하게 협력하여 머신러닝 인프라를 개발합니다 ,  실시간 및 배치성 대용량 데이터 테라단위  처리 개발 능력   대용량 데이터 아키텍쳐 설계 및 운영 능력   분산 시스템 설계 및 운영 능력   데이터 분석 및 모니터링을 포함한 ETL 파이프라인 개발 및 운영 경험   관련 경력 8년 수준 최소 3년 이상 ,  실시간 빅데이터 분석 처리 경험이 있으신분   웹  데이터 엔지니어링 등의 데이터 서비스 개발을 위한 소프트웨어 개발 역량을 갖추신 분    BI BA 서비스 환경 경험이 있으신 분    DW 구축 관련 Project 리딩 경험이 있으신 분    Hadoop Eco System에서 DW설계   ETL ELT  업무경험이 있으신 분 ,https://www.wanted.co.kr/wd/99173, 데이터 분석 및 모니터링을 포함한 ETL 파이프라인 개발 및 운영 경험   
DE9,노트하우,프론트엔드 웹 개발자 (Next.js),  함께하는 성장은 우리가 추구하는 첫 번째 목표입니다    회사라는 틀 안에서 여러분의 역량을 모두 펼치지 못한 경험이 있지 않으신가요   노트하우는 여러분의 스킬과 의견을 존중하며 함께 성장하고자 목표합니다    함께 나누면 다양한 시각과 문화를 바탕으로 더 큰 목표를 달성할 수 있습니다    주저하지 말아요  우리와 함께해 주세요     국내 최초 ALL IN ONE 대학 스터디 서비스를 지향합니다    학점은 어떻게 다들 잘 받는거지    취업할 수 있을까    스펙은    연애는 누구랑 하고  여행은 어떻게 가는 거지    내 진로는   etc     새내기의 들뜬 마음으로 입학한 대학교  다들 이런 고민을 한번쯤 해 보셨을 거라고 생각합니다  노트하우는 이러한 고민에서 시작되었습니다   고학점 동기 및 선배들에게 스터디 노하우를 전수받고  캠퍼스 고인물들만 알 수 있는 꿀팁  나아가서 사회로의 진출까지 도울 수 있는 ALL IN ONE 컨텐츠를 개발하고 있습니다 ,  담당업무     대학 스터디 플랫폼 서비스의 웹 프론트엔드 Nextjs  개발 및 유지보수   OOP  amp  INTERFACE  amp  FUNCTION 개발  amp  유지보수   UI amp UX 개발  amp  유지보수   문제 해결을 위한 개발적 접근 및 분석  설계를 통한 전략 기획     사용하는 기술     Frontend   Next js  Typescript  Interface  oop  function    Backend  Nest js  DDD패턴    DBMS  MYSQL 8 0   Nosql  MongoDB   App  Flutter    사용하는 TOOL     VSCODE   IDE TOOL   GIT   GITHUB   SONARCUBE   JENKINS   AWS  EC2  S3  RDS  ELS  SES,  웹 프론트엔드 개발 경력 1년 이상 혹은 이에 준하는 프로젝트 개발 경험을 보유하신 분   유지보수가 쉬운 코드 작성과 문서화의 필요성을 알고 있으신 분   사용자 입장에서 생각하고 제품에 녹여낼 수 있는 분   Flutter 배우면서 같이 성장하고 싶으신 분,  공대   자연대 대학 강의와 캠퍼스 문화에 대한 이해도가 있으신 분   신규 서비스 또는 플랫폼을 개발 및 런칭하고 성장시켜보신 경험이 있으신 분    SEO 고도화를 프로덕트 단계까지 진행해보신 분   스타트업 또는 빠르게 성장하는 조직에서의 경험이 있으신 분    먼저 의견을 제시하고 주도적으로 일하고 싶어하시는 분    문제해결에 능동적인 시도와 제안을 통해 결과물을 도출해낼 수 있으신 분,https://www.wanted.co.kr/wd/79292,  웹 프론트엔드 개발 경력 1년 이상 혹은 이에 준하는 프로젝트 개발 경험
DE10,고위드,데이터 엔지니어, 데이터로 금융을 바꾸고 혁신기업의 성장을 돕습니다   Go  with  GOWID   고위드는 빠르게 성장하고 혁신하는 기업들을 위해 신용카드 발급  지출관리 등 금융 솔루션을 제공하는 B2B 핀테크 기업입니다     개발팀의 업무방식과 문화    월간 업무 계획을 통해 왜 이 일을 해야 하는지  어떤 기여를 하기 위한 업무인지  그리고 R amp R을 명확히 합니다    Daily Scrum을 통해 업무 진행 상황과 이슈를 동료들에게 빠르게 공유합니다    장애 발생은 담당자 51   리뷰어 49 라는 공동 책임의 자세로 코드 리뷰와 아키텍처 리뷰에 적극적으로 임합니다    Demo Day를 통해 각자 한 달 동안 개발한 내용 가운데 가장 멋진 성과를 하나씩 서로 공유  질문하며 더 나은 방향을 고민합니다     개발 회고를 통해 격주 마다 함께 해 준 동료에게 감사의 마음을 전합니다  가장 소중한 자원은 시간도 돈도 아닌 사람이라는 것을 알고 있습니다  그리고 각자 알고 있는 이슈를 계속 수면 위로 끌어올립니다  기술 부채가 없을 수는 없지만 적어도 얼마나 많은지는 모두가 투명하게 인지하고 우선순위를 조절해서 다음 월간 업무 계획에 반영합니다    CTO와 개발자 간 정기 1 on 1을 통해 함께 고민을 나누고 해결책을 마련합니다  팀원의 업무 효율이 가장 높을 때는 지금 수행해야 하는 일 외 다른 걱정을 전혀 할 필요가 없을 때입니다  팀원이 최고의 업무 효율을 낼 수 있도록 방해 요소를 제거할 수 있도록 돕습니다    고위드 개발팀은 함께 일하는 동료에 대한 신뢰를 중요하게 생각합니다     실패에 대한 두려움보다는 함께 도전하고 설령 결과가 좋지 않더라도 비난하지 않습니다  빠르게 실패하면서 배우고 성공에 점점 가까워지려고 노력합니다     어떤 어려운 문제를 만나더라도 어떻게든 해결하고자 하는 의지  임직원 모두가 자기 주도적으로 업무에 임하여 더 큰 성취를 만들어냅니다      개발팀의 멘토  이용운 CTO  고위드에서 개발총괄을 맡고 있는 이용운 님을 소개합니다   온화하고 책임감이 강한 용운 님은 개발자들의 장점을 파악하여 편안하게 팀을 이끌어나가고 있습니다      안녕하세요  저는 글로벌기업  국내 대기업  중견기업  스타트업 등 다양한 규모의 회사에서 그리고 IT솔루션  eCommerce  O2O  게이밍  핀테크 등의 산업에서 근무한 경험이 있습니다  또한  백엔드  프론트엔드  데브옵스  데이터 엔지니어  데이터 분석  AI Researcher 등 다양한 개발 경험을 해봤습니다  그 결과  기술로 고객을 감동시키는 방법을 조금은 배운 것 같아요    수년간 개발 커뮤니티를 운영하며 귀와 마음을 열고 상대방을 대하는 방법을 배웠고 많은 잡지식을 쌓아왔습니다  많이 부족하지만  서로가 엄격한 사랑의 자세로 피드백을 주고받으며 개발하는 좋은 환경을 만들기 위해 열심히 노력하고 있습니다  ,  BigQuery  GCS  Composer Airflow   Dataflow 등 Google Cloud 서비스들과 MySQL  Embulk  Kafka  Python 등을 이용하여 Data Warehouse 를 구축하고 있습니다     일하는 방식   문제를 스스로 찾아서 해결합니다  동기 부여된 사람들은 공통의 목표를 위해 문제를 스스로 찾아 해결합니다  그 과정에서 동료에게 새로운 시각을 주기도 하고  실수를 통해 배우며 앞으로 나아갑니다   높은 개방성을 가집니다  우리는 문제를 해결하기 위해 모였습니다  나와 다른 것은 틀린 것이 아닙니다  방식이 다르더라도 수용할 수 있고  모를땐 모른다고 편하게 말할 수 있습니다   고객에게 진심이어야 합니다  결과물이 목표가 되어서는 안됩니다  우리의 목표는 고객의 성장을 돕는 것입니다  간혹 집중하다 보면 결과에 몰입될 수 있으나  모든 의사결정 기준은 고객이 되어야 합니다 ,  Data Warehouse 구축 및 운영 경험이 있으신 분   주도적으로 데이터 정합성 관리를 할 수 있으신 분   Python 및 SQL 관련 업무를 만 1년 이상 경험하신 분,  Kafka 운영 경험이 있으신 분   금융사 연동 개발 경험이 있으신 분,https://www.wanted.co.kr/wd/113425,  Data Warehouse 구축 및 운영 경험 Python 및 SQL 관련 업무를 만 1년 이상 경험
