company,job,url,introduction,to_do,need_to,preference
도다마인드,데이터 애널리스트,https://www.wanted.co.kr/wd/127687,도다팀과  전세계 고객경험의 상향평준화 를 실현시킬 팀원을 모집합니다    서베이  언제까지 지겨워야할까요   도다는 응답자 친화적인 UX와 게이미피케이션을 통해 10 밖에 안 되는 서베이 완료율을 혁신하고 있습니다   2021년 9월 출시 이후  입소문만으로  토스  배달의민족  HYBE  라인  스포티파이  디즈니플러스 등 국내외 17 000여곳이 사용하며 글로벌 서베이 amp 리서치 혁신을 만들어가고 있는 스타트업입니다   왜 서베이를 혁신할까요   저희는  전세계 고객경험의 상향평준화 라는 꿈을 가지고 있어요   이를 잘 이루기 위해 기업이     Ask Better 잘 물어보고  응답하고 싶은 콘텐츠형 설문폼을 통해 잘 물어볼 수 있게 도와요     Understand Better 잘 이해해서  강력하면서도 쉬운 애널리틱스로 고객을 잘 이해할 수 있게 도와요     Decide Better 잘 결정하게   기업의 흥망성쇠가 달린 고객의 니즈에 기반한 의사결정을 도와요   이런 팀이라서 가능해요     사람 중심    팀원 간의 대화  배려  인정  신뢰를 소중하게 생각해요     빠른 실험    민첩하게  고객중심으로 가설  실험  회고를 반복해요     좋은 질답    더 좋은 질문을 위해 스스로 공부하고  끊임없이 고민해요   폭발적인 성장을 하고 있어요  1  월간 활성 유저 MAU  370만 명 2  국내 최정상 대기업  스타트업  정부기관 17 000여곳 사용 중 3  응답 국가수   213개국 4  고객 제작 콘텐츠 평균 완료율   92   이렇게 일해요     고객에 의한  고객을 위한    고객의견이 최우선  모든 팀원이 고객 인터뷰에 참여해요     스스로 설득 가능하게    스스로 질문을 던지며 궁금한 부분은 팀원과 함께 고민해요     빠르되  측정가능하게    반드시 데이터 수집 구조를 만들고 가설  실험  회고를 반복해요     신뢰  충돌  헌신    서로를 신뢰하고  생산적인 충돌로 결정되면 무조건 헌신해요   이런 복지를 제공해요     내가 편한 곳에서    하이브리드 출근제로 화 수 목 재택근무가 가능해요     내가 편한 시간에    1시 5시 코어타임을 제외하면 아무때나 출퇴근 할 수 있어요    불필요한 절차는 없어요    개인 법인카드로 업무에 필요한 부분이라면 바로바로 결제해요     당신의 성장   팀의 성장    더 뛰어난 팀원으로 성장할 수 있도록 도서와 교육비는 걱정은 넣어두세요   Work With Us  전세계 고객경험 상향 평준화  당신과 함께 현실로 만들고 싶습니다 ,함께하시면 이런 일을 해요    도다의 서비스 제품을 이용하는 웹 유저들의 행태 Data를 정제 가공 분석하고  리포트와 시각화를 제공해요    목표를 달성하기 위한 지표와 가설을 설정하고  이를 검증할 수 있는 다양한 A B 테스트를 설계해 진행해요    Data driven 의사결정을 할 수 있도록 정량적 수치와 분석 결과를 제공해요    Product  Marketing  Corporate Development  Finance 등 다양한 팀과의 협업을 통해 비즈니스 문제를 정의하고  이를 해결하기 위한 가설을 수립해요    Product Owner와 함께 서비스 및 전사의 방향을 결정하는 중요한 전략가로서의 역할도 수행할 수 있어요 ,이런 분을 찾고 있어요    SQL을 사용해 직접 데이터를 추출하고 정제해보신 분이 필요해요    모바일 서비스 데이터 분석 방법 Customer Lifetime Value  Retention  Cohort Analysis 등 에 대한 높은 수준의 이해도가 필요해요    지표의 성장을 위해 다양한 가설을 설정해보고 실험하여 직접 서비스를 개선해보신 분이 필요해요    가설을 세워 A B 테스트를 설계하고 진행해보신 분이 필요해요    데이터 시각화 Tableau  Amplitude 등 에 대한 경험이 있으면 좋아요 ,이런 경험이 있다면 더 좋아요    스타트업에서 일한 경험이 있는 분   B2B SaaS 제품을 만드는 곳에서 일한 경험이 있는 분
아이퀘스트,비즈니스 전략가,https://www.wanted.co.kr/wd/127351,우리 회사는    IQUEST  아이퀘스트 는 1996년에 설립하여 중소기업 대상으로 ASP 기반의 SaaS 방식 패키지 소프트웨어와 SI 방식의 구축형 ERP를 개발 판매하고 있는 건실한 코스닥 상장법인입니다   비대면 관리 형태의 ERP 솔루션을 기반으로 빅데이터 기반 인공지능 AI  회계처리 기술과 블록체인을 활용한 보안과 계약 증빙 기술을 보유하고 있으며  이를 통해 고객 비즈니스에 최적화된 솔루션을 제공하는 IT기업 입니다   지금 우리는 전략 마케팅 본부 SMD 에 인재가 필요해요       SMD s 비전 고객을 사로잡는 프로덕트를 개발하고  널리 사용자를 이롭게 만듭니다    Market Fit 탐색   Aha Moment 제공   홍익인간    SMD s 미션   시장을 탐구하고  사용자의 니즈를 파악합니다     유의미한 사용자를 아이퀘스트의 멤버로 초대합니다     프로덕트 사용에 만족감을 느끼고  지속적으로 사용하게 합니다 ,주요업무   국내외 IT Solution 시장 환경 분석 및 비즈니스 전략 기획   신규 비즈니스 모델 검토 및 성장 시뮬레이션   사업별 성과 및 데이터 관리  신규 계약  구독료  사용량 등   전형절차    서류전형   1차 인터뷰 화상가능    2차 인터뷰   최종합격,  경력 3년 이상을 보유하신 분   전략 Framwork에 대한 이해도와 프로젝트 경험이 있으신 분   데이터 기반으로 인사이트를 발견하고  의사결정을 도울 수 있는 분,  주도적이고  능동적이며 업무에 대한 오너십이 탁월하신 분   구성원들과의 협업을 즐기고  성과를 함께 나눌 수 있는 분   커뮤니케이션이 원활하고  프로젝트 리딩이 가능한 분
한국사회가치평가(KSVA),사회가치 및 ESG 측정 연구원,https://www.wanted.co.kr/wd/73568,안녕하세요  먼저 한국사회가치평가에 관심 가져주셔서 감사합니다  한국사회가치평가에 대한 소개와 함께 한국사회가치평가에 대해 지원자 분들이 궁금해 하실 내용을 담았습니다  추가로 궁금하신 점이 있다면 자유롭게 문의해주세요    한국사회가치평가 소개  우리는 다양한 조직이 보다 효과적으로 더 나은 사회를 위한 임팩트를 창출할 수 있도록 지원하는 임팩트 컨설팅 기업이자 측정 전문가 그룹입니다  국내 대기업  공공기관  사회적경제조직 및 비영리기관 등 다양한 섹터에 속한 조직들이 만들어 내는 임팩트를 정성  정량  화폐화 방식으로 측정  평가합니다  또 다양한 조직이 만들어내는 임팩트를 체계적으로 관리할 수 있도록 교육  컨설팅  연구를 수행 합니다  우리는 임팩트 측정과 관련하여 가장 많은 수의 Database를 보유하고 있으며  국내 최다 임팩트 측정 case를 다뤘습니다   주요 고객사는 다음과 같습니다     영리기업   SK  포스코  하나금융  현대차  두나무  넷마블 등    공공기관   LH  SH  국립수목원  신용보증기금  예술경영지원센터 등    임팩트투자심사   와디즈벤처스  아크 임팩트 자산 운용  TBT  센트럴투자파트너스 등    비영리조직   아름다운재단  브라이언임팩트재단  다음세대재단 등   전 현직자가 말하는 한국사회가치평가    한국사회가치평가 에 대한 잡플래닛의 평점과 코멘트를 확인해주세요  평점 4 5점 이상의 진심을 담아 많은 분들이 저희를 평가해주셨습니다   컨설팅사 평균 2 78점 사회적경제 유관 조직 평균 2 6점  한국사회가치평가의 모회사인  플랜엠 도 함께 검색하시고  저희와 함께 할 워크앤라이프를 기대해주셔도 좋습니다       이직 퇴사동료 글 일부     4년 넘는 시간동안 세상을 향한 따뜻한 시선  진심을 다하는 태도를 배우고 떠납니다    월요일 출근이 걱정되지 않는 곳   업무에 대한 스트레스가 없을 수는 없지만  우리 조직은 누군가 힘들 때 의지가 되어주고 도닥여주는 곳이었다고 생각합니다    만 5년이 넘는 시간동안 정말 행복한 시간을 보냈습니다    항상 웃는 얼굴들  치열한 토론들  멋진 업무들  배려하는 눈길들 잊지 않을게요     근무형태  자율출퇴근제로  본인이 원하는 장소에서  원하는 시간대에 일 8시간 근무를 수행할 수 있습니다  구성원들에 대한 조직의 믿음과 존중을 제도화하고  업무의 효율성과 성과도 동시에 추구할 수 있도록 지원합니다    인재상   사회현상을 주의깊게 관찰하고  문제의 원인과 해결책에 대해 냉철하게  새로운 시각으로 고민할 수 있는 사람을 찾습니다  또 다른 사람의 견해를 나의 것 처럼 존중할 수 있는 사람을 기다립니다  뚜렷하고 다양한 주관을 가진 사람들이 모여 각자의 전공과 경험을 뛰어넘는 솔루션을 만들어내는 원 팀을 지향합니다    사람이 온다는 건 실은 어마어마한 일이다  한 사람의 일생이 오기 때문이다 라는 글귀가 있습니다  한국사회가치평가에 관심을 갖고 발걸음해주시는 모든 분들에게 감사함을 전하며  아래 세부 내용을 참조하여 지원해주세요 ,  영리기업  공공기관  비영리기관 및 사회적경제조직의 사회적가치 ESG 지표 개발 및 Valuation 정량  화폐가치 측정     유관 분야 국내외 리서치 및 데이터 분석    측정 관련 교육 및 컨설팅,  국내 외 학사 학위 이상 취득자    사회문제에 대한 관심과 분석 능력    원활한 협업 및 커뮤니케이션 능력    국 영문 및 외국어 자료 리서치 능력 및 MS Office 활용 능숙자 EXCEL  PPT 숙달 ,  임팩트 ESG 평가 및 측정 경험 및 유관 업무 수행 경력자 우대   통계 및 외국어 능통자 우대
"크리마 (크리마팩토리, 크리마랩)",데이터 컨설팅팀 팀장,https://www.wanted.co.kr/wd/65054,크리마는 온라인 쇼핑몰 운영을 개선할 수 있는 고도화된 Backend Frontend Solution을 제공하는 B2B SaaS 서비스형 소프트웨어  스타트업입니다   LG전자  코오롱  휠라  롯데홈쇼핑  탑텐  젝시믹스  블랭크 코퍼레이션 등 국내 Top tier 브랜드를 비롯해 약 2000개의 쇼핑몰이 애용 중이며  2021년 기준 고객사 매출이 약 6 2조원에 이르고 있습니다  또한 2012년 창사 이래 8년간 자체 매출로 꾸준하게 성장하였고  최근에는 SV 인베스트먼트  베이스 인베스트먼트로부터 40억 원 규모의 시리즈 A 투자유치를 해낸 안정적이고 혁신적인 Tech 스타트업으로  아래 세 가지 서비스 개발 운영에 박차를 가하고 있습니다   CREMA Review Solution은 온라인 커머스 리뷰 시스템을 혁신하는 국내 1위 리뷰 관리 전문 시스템입니다  획기적으로 간편해진 리뷰 작성 기능을 통해 3 에 불과했던 리뷰 작성률을 평균 15 까지 상승시켰고  리뷰 관리를 자동화한 여러 기능을 통해 관리시간을 60  이상 줄이는 등의 혁신적인 변화를 이끌고 있습니다   CREMA Target Solution은 고객의 특성  쇼핑 패턴 등을 분석하여 방문자 각각에게 개인화된 콘텐츠를 제공하는 개인화 고객 관리 시스템입니다  일괄 대량 발송만 가능하던 DM 시스템을 개인화 발송이 가능하도록 제공하고  90 에 달하는 장바구니고객 이탈률을 평균 60 로 낮추는 등 가장 현실적이고 효율적인 개인화 기능을 제공합니다   CREMA Fit Solution은 패션몰에 제공되는 사이즈 추천 시스템입니다  크리마가 보유한 300만명 이상의 고객 체형 데이터와 매달 200만개 이상 생성되는 구매 상품의 사이즈 만족도 및 한줄평 등 방대한 데이터를 기반으로 소비자가 최적의 사이즈를 선택할 수 있도록 돕습니다  사이즈로 인한 반품률을 낮추고  사이즈 선택에 대한 불안함 없이 구매할 수 있는 환경을 제공합니다     관련기사          직무인터뷰 직무 전환 후 3년만에 팀장이 되다 크리마 조광애 팀장   ,  전사 구성원이 데이터 기반 의사결정을 내릴 수 있도록 데이터 분석 결과 제공   정의된 문제 가설을 해결 증명하기 위한 데이터 분석을 기획하고 알맞은 분석 방법론 제시   데이터 엔지니어와 협업을 통해 분석에 필요한 데이터의 추출 변환 적재 프로세스 자동화 진행   데이터 전처리 및 분석을 통해 발견한 다양한 인사이트의 직관적인 시각화 진행,  데이터 분석 인사이트가 실제 비즈니즈에 적용되어 그 결과까지 트래킹한 경험   데이터 분석 결과의 직관적인 시각화를 위해 BI Tool Power BI  Tableau 등 을 활용해본 경험   데이터 분석 결과를 간결한 언어로 명확히 전달할수 있는 커뮤니케이션 능력   이커머스 분야 데이터 분석 및 팀 리딩 경험,  컴퓨터 공학  통계학 전공자   프로그래밍 언어 SQL  R  Python 등  사용 경험   CRM 솔루션 Braze  Salesforce 등  및 GA 웹로그 분석 툴 사용 경험
딥브레인에이아이,데이터 사이언티스트,https://www.wanted.co.kr/wd/40112,딥브레인 AI는 대화형 인공지능 원천기술을 가진 스타트업입니다  영상합성 및 음성합성의 딥러닝 기반기술을 보유중이며  특히  영상합성과 음성합성 기술을 모두 가진 곳은 당사가 유일합니다  또한  음성합성기술은 실제음성과 같이 자연스럽고  영상합성에 성공 미국  중국에 이어 세계 3번째로 상용화 한 국내유일의 회사 입니다  	 이를 토대로  인공지능기반 비즈니스 모델을 구축하여 신규사업에 진출 예정입니다  향후  상장을 목표로 오늘도 저희 머니브레인의 팀원들은 개발에 매진하고 있습니다 	 	 딥브레인 AI는 원천기술의 자부심을 가지고 있습니다  그리고 지금까지의 성과를 발판삼아 더 크게 나아가고자 합니다  글로벌 딥러닝 비즈니스의 리더가 되기 위해  훌륭한 팀원들이 필요합니다  딥브레인 AI의 멋진 여정에 참여할 당신을 기다립니다 	   성과    고품질 딥러닝 음성합성 기술 공개   국내 최대 카드사 신한카드 챗봇 오픈   금융권 최초 농협은행 금융봇 오픈   서울아산병원과 인공지능 의료상담 공동개발 계약   인공지능 배달봇 얌얌 서비스 출시   챗봇 플랫폼 플레이챗 오픈   투자    누적 600억원 투자유치   신용보증기금 퍼스트펭귄형 창업기업 선정 15억원 지원   정부지원 사업 진행  총 20억  3건 ,  딥브레인의 데이터 사이언티스트 업무 리드   데이터 유관부서들을 위한 데이터 인프라 설계 기획   팀별 부서별 데이터 KPI 분석 및 시각화 툴 개발   상품 기반 리스팅 추천 알고리즘 개발   마케팅 자동화 플랫폼 레버 서비스의 최적화 모델 개발   AWS 기반의 자동화된 데이터 파이프라인 구축   퍼포먼스 마케팅 데이터 분석 및 효율 측정   사용자 Feature 기반 데이터 측정 및 관리   Data를 정의하는 데이터 카탈로그 작성 관리   대용량 데이터 처리기능 개발 및 검증,  Python을 통한 데이터 분석 능력을 갖추신 분   석박사 경력 포함 해당 업무 5년 이상   데이터 관련 전공 통계학 컴퓨터공학 산업공학 등  혹은 데이터 교육 이수자   데이터팀 셋팅 및 리딩 경험   실제 서비스 데이터를 이용한 분석 모델 개발 경험자   예측  추천 시스템 개발 경험,  데이터 관련 분석 실무경력 3년 이상   AWS 기반 데이터레이크 경험   대용량 Data 기반 ETL 및 가이드라인 개발 경험   마케팅 도메인에 대한 이해   마케팅 타겟팅 시스템 알고리즘 설계 개발 경험
천명앤컴퍼니,그로스 파이낸스 챕터 리드 (Growth Finance Chapter Lead),https://www.wanted.co.kr/wd/128446, 천명팀 전체가 매순간 가장 옳은 판단을 내릴 수 있도록    함께 꿈을 현실로 만들어갈 천명팀 그로스 파이낸스 챕터 리드 Growth Finance Chapter Lead  분을 찾습니다    천명 F amp A팀이 비즈니스 성장을 리드하는 방법    데이터와 로직에 기반하여 천명팀이 매순간 가장 옳은 판단을 내릴 수 있도록 리드합니다    새로운 시장에 침투하고 새로운 형태의 부가가치를 창출하는 천명팀은 태생적으로 잦은 시도와 건강한 실패를 반복할 수밖에 없는 환경에 놓여 있습니다  적극적인 시도를 거쳐 올바른 답을 찾아나가는 과정에서 가장 중요한 요소는  재무 건전성 이라고 믿습니다  천명 F amp A팀은 기업의 기초 체력을 다지고 팀 전체가 데이터에 기반한 의사결정을 하는 문화를 확산합니다    재무회계 관점에서 기업의 재무 상태를 건전하게 만들어나간다는 것은 지속가능한 수익을 최대화하고 불필요한 비용의 소모를 최소화하는 것입니다  두 가지 미션을 공격적으로 수행하기 위해 F amp A팀 구성원들은 각종 Squad에 소속되어 고유의 권한과 책임을 행사합니다   지속가능한 수익을 최대화하기 위해 기본적으로는 비즈니스의 주요 Growth Driver를 파악하는 Intelligence를 책임집니다  단순한 현황 파악을 넘어  연간 계획을 포함한 각종 크고 작은 신규 Initiative의 재무적 성과를 분석하고 예측하여 리소스 투입의 우선순위를 제언합니다  또한 주요 Initiative의 실행 과정에 참여하여 재무적으로 성공적인 결과가 도출되도록 최선을 다해 팀을 가이드합니다   불필요한 비용 소모를 최소화하기 위해 기본적인 Internal Audit 과정을 설계하고 리드하며  투자 자금 집행 프로세스에 대해 완전한 Ownership을 갖게 됩니다  이 프로세스를 가능하게 하기 위해 F amp A팀에게는 투자하는 자금이 충분히 높은 비즈니스 임팩트에 기여한다는 설득이 없으면 자금 집행을 거부할 수 있는 강력한 권한이 부여됩니다   건전한 재무 구조를 만듦으로써 비즈니스를 리드하고 세상에 거대한 변화를 일으키는 일에 가슴이 뛴다면  지금 천명 F amp A팀  초기 팀원 으로 합류하세요    천명팀 Growth Finance Chapter의 미션과 비즈니스 툴     Chapter Mission 천명의 Growth FA Financial Analyst 는 담당 Squad에서 CFO 역할을 하며 비즈니스의 Topline과 Bottomline 성과를 주도해서 개선합니다  기업재무에 대한 강력한 역량과 비즈니스에 대한 깊은 이해를 바탕으로 Squad 구성원들이 최고의 재무적인 성과를 달성할 수 있도록 리드합니다     Business Tools   Business Intelligence  PostgreSQL  Tableau  Microsoft Excel   Product Analytics  Amplitude  Smartlook   Collaboration Tools  MS Office  Notion  Slack,  비즈니스 성장의 주요 Growth Driver를 파악하고 팀이 더 큰 비즈니스 임팩트를 끼치도록 가이드합니다    서비스에서 발생하는 Raw Data를 기반으로 핵심 지표를 트래킹하기 위한 데이터 파이프라인을 설계합니다    프로덕트와 비즈니스에 대한 데이터 분석을 통해 얻은 Intelligence를 공유하고 시장에 대한 이해를 돕습니다    Holistic한 관점에서 연별  분기별  월별 비즈니스 Cycle을 리드하여 재무건전성에 기여합니다    Pricing Plan  Incentive Plan 등 재무적인 전문성이 크리티컬한 영역에 대해 최종 의사결정을 내립니다    팀의 모든 리소스가 비즈니스 임팩트에 집중될 수 있도록 모니터링하고  그렇지 못한 부분들은 적절한 Recommendation을 통해 개선합니다 ,  Management Consulting 혹은 Corporate Financial Analyst 경험이 3년 이상이거나 그에 준하는 역량이 있는 분   상관관계를 넘어 인과관계를 추론할 수 있는 분   재무와 회계에 대한 깊은 배경지식이 있는 분   다양한 이해관계자와의 협업과 커뮤니케이션에 익숙한 분   다양한 우선순위를 동시다발적으로 매니지하고 딜리버할 수 있는 분   팀과 함께 일할 떄와 독립적으로 일할 때 모두 퍼포먼스를 낼 수 있는 분,  모바일 서비스에서 A B 테스트를 설계하고 운영하는 데에 익숙하신 분   시나리오별 시뮬레이션을 통해 실질적인 액션을 제시할 수 있는 분   통계학  금융공학  예측 모델링 관련 분야를 전공하셨거나 해당 분야에 대한 경험이 많은 분   다양한 모바일 서비스 데이터 분석 방법 LTV  AARRR  Cohort  Funnel 등 을 통해 문제를 해결해본 경험이 있는 분
아데나소프트웨어,Strategy Analyst for Fintech Oriented Company,https://www.wanted.co.kr/wd/109401,Finance is no longer past finance  Technology supports all of that  ADENA is becoming a successful FinTech company by converging it properly   ADENA continues to accumulate insights into global financial trends to shape its business direction   We are looking for a Business Analyst who will apply analytical thinking and problem solving skills to develop and implement complete requirements and solutions across the organization   We are looking for ADENA families who will explore global fintech platform services with infinite possibilities    Recruitment process  Documentation screening   1st interview  fit for job    2nd interview  fit for organization    Final acceptance   Recruitment form  Full time  3 months probationary period     100  salary paid within probationary period ,  Developing and building strategies  experience scoping  developing and prioritizing plans    Create detailed business and functional specifications  use cases  activity diagrams  process flows  business rules  internal and external user guides   Documentation and constant updating and development of processes   analysis of the implementation of tasks from development to test results   Identify  evaluate and manage project risks  issues and dependencies  and agree appropriate risk responses,  English proficiency  written and oral communication    Excellent documentation skills   Experience as a Business Analyst or similar role  3 5 years ,  Experience in Fintech IT field   Legal background
차란차,플랫폼 Product 기획,https://www.wanted.co.kr/wd/123835,찾는 차 다 있다  쉽고 바른 중고차 플랫폼  차란차    차란차 는 자동차 전문기업  도이치 오토모빌그룹 에서 안심하고 믿을 수 있는 중고차 거래를 위해 새롭게 런칭한 중고차 플랫폼 서비스입니다  기네스북에 등재된 전 세계 최대규모의 자동차 매매단지인  도이치 오토월드  내 실 보유차량의 정보를 고객분들에게 제공하고 있으며  고객님께서 중고차 거래를 좀 더 쉽고 재밌게 이용하실 수 있도록 여러가지 서비스를 제공하고 있습니다   저희 차란차와 함께 열정적으로 플랫폼을 이끌어갈 유능한 인재를 모집합니다     차란차는  도이치모터스 를 모기업으로 두고 있는 IT 플랫폼입니다    입사시 차란차내  서비스기획팀  부서에서 근무하게 됩니다    수평적인 구조를 지향하며 서로 자유롭게 의견을 주고 받는 개방적인 분위기입니다 ,  차란차 서비스 기획 및 고도화 운영   사용자 경험 분석 및 인사이드 도출   지표 데이터 분석 및 서비스 개선,  서비스기획 경력 5년 이상 10년 이하 대리 과장급    PC Web  Mobile Web   App  기획 경험이 풍부한 분   Back office 기획 경험이 있는 분   스토리보드 및 문서 작성 능력이 우수한 분   데이터 및 논리적인 사고를 기반으로 다양하고  복잡한 문제 해결  의사 결정이 가능한 분   다양한 직군의 담당자와 원활하고 유연한 커뮤니케이션 가능하신 분   비즈니스 전반에 대한 이해와 Ownership을 갖고 지닌 분,  자동차에 관심 있는 분   온라인 중고차 플랫폼 비즈니스 경험자 또는 이해도가 높은 분   Figma로 기획서 작업이 가능하신 분   JIRA   Confluence  슬랙을 사용해 보신 분
단색,데이터 분석가(3년차),https://www.wanted.co.kr/wd/119414, 모든 여성이 쉽게 건강해지는 세상  단색은 모든 여성이 몸의 변화에 따라 쉽게 건강해질 수 있는 세상을 만들고자 합니다   이러한 이유때문에 주니어브라    초경팬티    생리팬티    심리스브라    요실금 속옷 등 여성의 몸의 변화에 맞춘 기능성 언더웨어를 자체제작하고 있습니다    단 한장으로 색 다르게  단색은 여성 웰니스 브랜드로서 단 한장으로  색 다른 경험을 여성들에게 주고자 합니다  일회용 생리대가 필요없는 생리팬티를 국내 최초로 제작하였으며  와이어가 필요없는 기능성 원단으로 주니어브라 온라인 판매 1위를 달성하였습니다   제품력으로 고객 만족으로 최우선으로 생각합니다 ,  온라인 커머스 고객 데이터를 기반으로 데이터 추출  분석하여 고객 행동에 대한 가설을 검증하고 분석된 결과를 통한 인사이트 도출   내부  외부적인 데이터들을 활용해 데이터를 분석하고 서비스 현황 및 성과 분석을 위한 대시보드 설계 및 비지니스 성장을 위한 플랜 제안  제품 판매량 및 생산 발주 주기를 기반으로 파생되는 데이터 축적 및 신제품 기획 및 개선 사항 제안 및 발주 시스템 설계   판매 현황 및 성과 분석을 위한 KPI를 기획,  1년 이상 커머스 웹 기반으로 고객 행동  DB LOG  데이터 분석을 통한 서비스 개선 경험   데이터 처리를 위한 언어  SQL  Python 등  2개이상을 사용 가능하신 분   사용자 행동 데이터 분석을 통해 인사이트를 얻고 개선점을 찾아 서비스 적용해본 경험이 있으신 분   빠르게 변화하는 환경에서 서비스에 대한 열정을 가지고 주도적으로 업무를 이끌어 가시는 분,  커머스 경험을 해봤거나 전반적인 이해가 가능하신 분    동료들과 원활한 협업 및 커뮤니케이션이 가능하신 분   주도적으로 업무를 수행할 수 있으신 분   SQL  Python 언어를 활용한 데이터 프로세싱에 대한 이해도가 높으신 분    데이터 시각화에 대한 경험이 풍부하신 분    데이터 분석 관련학과 통계  산업공학  수학과 등  석사 이상
어바웃펫,IT기획,https://www.wanted.co.kr/wd/128549,저희 어바웃펫은 GS리테일의 자회사에요 저희는 펫시장에서는 유일한 대기업 자회사로서 반려용품을 판매하는 커머스 업체로  안정적 투자에 힘입어 일년에 2배씩 빠르게 성장하고 있는 회사입니다  저희는 커머스와 콘텐츠  케어 상담 서비스를 연결해 고객이 원하는 상품과 정보를 원스탑으로 추천 제공하고 있습니다  또 등록된 반려동물 정보와 구매 패턴  콘텐츠 시청 이력  상담 이력 등 어바웃펫의 빅테이터를 기반으로 케어 서비스를 제공하고 있습니다   저희 어바웃펫은 강아지  고양이를 위한 상품 모두를 아우르며 식품부터 여러 용품까지 다양한 카테고리에 걸쳐 상품을 개발하고 있기에 다양하게 직간접적으로 히트상품이 만들어지는 과정을 참여할 수 있습니다  아무거나 만드는 것이 아니라 반려인들의 의견  수의사 등 전문가의 의견 및 리서치 및 분석을 토대로 도출한 인사이트들을 토대로 정말로 필요한 상품들을 만듭니다   또 저희는 SBS와 협업하여 반려동물 콘텐츠 제작 및 크리에이터 커머스 플랫폼 젤리크루와 MOU를 체결하면서 컨텐츠를 강화하고 있습니다  또 네이버와 협업하여  네이버 어바웃펫 몰 에 입점해 판매 채널을 확대하였으며  어바웃펫 플랫폼에 네이버의 인공지능 AI  기반 상품 추천기술인  에이아이템즈 AiTEMS  를 적용하여 초개인화 서비스를 고도화해 고객에게 차별화된 소비 경험을 제공해 가는데 주력할 예정입니다  향후 저희는 마케팅 강화와 물류센터 확장 및 자동화 등에 나설 계획입니다  이를 통해 최종적으로 PB상품뿐만 아니라 케어  장례  보험까지 아우르는 주도적 반려동물 전문몰로 성장하고자 하고 있으며 이 즐겁고 보람찬 여정에 함께하실 분들을 기다립니다  ,현재 팀 구성은요   팀 명  IT그룹   팀 구성  총 11명   포지션 오픈 사유  사세 확장으로 인해 신규로 오픈된 포지션입니다   어바웃펫에 오시면 하시게 될 일은요     어바웃펫의 경영전략과 연계한 중장기 IT 전략 및 로드맵 수립   신규 시스템 도입 타당성 검토 및 프로젝트 진척도 관리   IT 계약  예산관리 사업계획 수립  실적관리 ,이런 분을 모시려고 해요   유관 경력 4년 이상 보유하신 분   4년제 대학 이상의 학력 소지하신 분   해외 여행에 결격사유가 없는 분   자신의 업무에 대한 책임감과 긍정적인 성격을 갖춘 분,   4대 보험  연차 반차 반반차 운영    인센티브 제도    구내식당    GS홈쇼핑 할인    GS타워 통근버스 운행    GS리테일 제휴 휴양시설 이용 지원    LG생활 연수원 이용 지원    파르나스 호텔 할인    명절 복지포인트 지급    생일 상품권 지급    직무 관련 교육비 지원    자기개발의 날 운영    시차 출퇴근제 운영    종합건강검진 지원    경조사 지원    자녀학자금 지원    반려동물 장례 지원    축구 FC서울   야구 LG트윈스  경기 티켓 제공    야근 택시비  야근 식대 지원    편안한 자율 복장    수평적인 영어 닉네임 호칭 제도
