company,job,url,introduction,to_do,need_to,preference
이노디스,웹기획(PM),https://www.wanted.co.kr/wd/128722,Smart Biz  Smart Answer   혁신적인 마인드  불굴의 도전정신  꺼지지 않는 열정  그리고  팀워크   이노디스가 바라보는 인재상입니다   함께 성장해 갈 인재라면 지금 도전하십시오    이노디스는 2003년에 설립된 안정적인 기업으로  중소기업청이 선정한 우수중소기업입니다   서울 송파구 송파대로 201 문정동 에 위치하고 있으며   사원수 약 40여명 규모의 회사입니다   매년 공공 eBI 부문 40여개 사업을 수행중이며   온라인 및 모바일 서비스 구축  빅테이터 분석 기반 솔루션 개발과  브랜드 커뮤니케이션 등 사업을 하고 있습니다 ,  웹기획  PM   웹서비스 구축 운영 사업 관리    IA및 UI UX설계   과업범위  수행인력  일정관리  산출물관리    고객 커뮤니케이션,  학력   대졸이상   경력   웹기획 경력 10년     스토리보드  산출물 작성 가능자    커뮤니케이션 능력 우수자   해외여행에 결격사유가 없는자,  컴퓨터활용능력 우수자   문서작성 우수자   프리젠테이션 능력 우수자   공공기관 프로젝트 경험자
딥파인,"PM/프로덕트 매니저/서비스 기획자/Web,App UI 설계",https://www.wanted.co.kr/wd/85676,딥파인은 스마트글라스를 활용한 업무지원 솔루션  ARON 을 개발하고 있는 스타트업입니다  산업군에 특화된 AR AI 기술기반의 지능형 서비스들을 ARON에 적용하여   산업현장의 문제 해결을 위한 다양한 서비스를 제공하고 있습니다  딥파인은 2019년 7월에 설립 이후 1년여 만에 ARON을 통해 국내 최대 상용화에 성공하였고 이를 바탕으로 국내 및 글로벌 확산산업을 추진중에 있습니다   현재 Google  MS  Mercedes Benz 등 글로벌 기업과 AR XR 서비스 개발 및  스마트글라스 기술 협업을 활발하게 진행하고 있으며 2020년 1월 ARON 1 0 출시 이후 건설  식품  항공 등 국내 Top 기업고객들이 사용중에 있습니다   현재 Pre A시리즈 투자가 성공적으로 마무리 되었으며  해야할 일들과 하고 싶은 일들이 무궁무진한 플랫폼입니다  내가 만드는 서비스에 자부심을 느끼고 함께하는 성장에 가치를 느끼시는 분이라면 언제든지 환영합니다    주요 사업 분야   비대면 업무협업 솔루션 ARON  비대면 업무협업 솔루션  ARON Enterprise   XR 플랫폼 연구 및 구축  XR 디바이스 솔루션 구축,  서비스 확장성을 고려한 정책을 수립하고 계획   프로덕트 요구사항 정의 및 개발 디자인 부서 협의를 통한 제품 구현 및 운영   데이터 기반으로 가설을 설정하고 전략 달성을 위한 우선순위 설정 및 성공지표 관리   기존 프로덕트 개선 및 신규 프로덕트 런칭에 대한 전 과정 리드   고객의 다양한 Pain Point 해결을 위한 사용자 중심의 프로덕트 설계   기획  디자인  개발 및 QA 과정을 주도적으로 관리   C레벨  팀 리더의 디스커션 파트너로서 사업의 전략  계획 수립에 관여,  4년 이상 자사 서비스 및 Enterprise 서비스의 런칭 및 운영 경험   신규 서비스에 대한 프로덕트 설계 경험이 있으신 분   서비스 기획에 필요한 문서 템플릿 및 공통 가이드화 능력을 보유하신 분   문제 해결을 위해 필요한 지식을 빠르게 파악하고      이를 위해 필요한 지식을 습득하는 것에 자신 있는 분   개발 부서와 커뮤니케이션에 필요한 IT 제반 지식을 보유하신분   구성원들과의 협업을 즐기고  성과를 함께 나눌 수 있는 분,  신규 서비스 및 프로젝트 매니징 PM  경험이 있으신 분    클라우드 기술 및 SaaS 비즈니스 관련 경력을 보유하신 분   Figma  Zeplin 등 프로토타이핑을 통한 서비스 설계가 가능하신 분   AR AI 기술을 적용한 콘텐츠 기획 경험   스타트업 업무 환경에 대한 이해가 있는 분   소프트웨어 개발 스택에 대한 이해가 가능하신 분
젠틀파이,서비스 기획자 (UX 기획),https://www.wanted.co.kr/wd/21935,AI Application Company 젠틀파이에서 함께 일하실 UX 기획자를 찾습니다  챗봇으로 대표되는 AI 기획 경험이 없어도 무관하며  이 분야에 대한 약간의 관심이나 웹 소프트웨어 등 IT 기획 경험이 있다면 함께 하실 수 있습니다  또한  집중력 있고 협업에 능숙한 업무 자세를 가지셨다면 대환영입니다   젠틀파이는 직원의 가족을 소중히 여기는 회사로서  7년 동안 한 곳만 바라봐왔고 앞으로도 그럴 것입니다 ,  Chat Bot  Voice Bot 등 AI 서비스 기획   그외 AI application 구축 및 운영   클라이언트 커뮤니케이션,  웹 앱 서비스 기획 경력 3년 이상   왜  라는 끝없는 물음이 있으신 분   데이터를 통한 서비스 문제점 발견 및 해결책 추론이 가능한 분   다양한 유관 부서와의 원활한 커뮤니케이션 능력   서비스 전략 수립  UX 기획 및 설계 역량,  챗봇 등 AI 서비스 기획 경험   UX 리서치 경험 및 관련 지식  UX 전공자   일정 규모 프로젝트 PM PL 경험   자연어처리 엔진 등 관련 솔루션 경험   에이전시 근무 경험자
마이스,서비스 기획자,https://www.wanted.co.kr/wd/132673, 온라인 교육 1위 메가스터디교육을 AI 기술을 활용하여 새롭게 변화시키고 싶으신 분들을 모시고 있어요      마이스 소개  마이스는 2021년 메가스터디교육과 스켈터랩스의 조인트벤처로 설립된 메가스터디교육 그룹의 자회사에요   에듀테크 분야의 AI기술 고도화 및 AI기술을 적용한 교육 서비스를 기획  개발  운영하고 있어요     마이스 현황  AI기술을 활용해서 음성인식  음성합성  검색  자연어처리 등의 연구를 하고 있고  상용화 서비스는 메가스터디교육의 AI자막 서비스 메가랜드의 강의 영상 AI자막 서비스를 개발  운영 하고 있어요     회사 문화  저희는 주도적으로 개발적인 방향성을 제시할 수 있는 열린 문화를 가지고 있어요  빠르게 작동하게 만들기 보다는 완성도 있는 설계를 추구하고 있어요  새로운 것을 만드는 일에 도전하는 것을 좋아하시는 분  앞으로의 교육을 바꾸고 싶으신 분들과 함께 하고 싶어요     함께 하고 싶은 분  논리적인 분석력  적극성  커뮤니케이션 능력이 있는 분과 함께 하고 싶어요  입사 후 맡으실 주 업무는 AI기술을 활용해서 새로운 온라인 교육 플랫폼을 기획하는 일이에요 ,  신규 온라인 교육 플랫폼 기획   웹 앱 화면 설계 및 기획서 작성   서비스 정책수립  기능 정의서  화면 기획서  스토리 보드 작성   협업부서  개발 디자인 기타   고객과의 커뮤니케이션 및 전체적인 일정 관리,  아이디어를 서비스로 구체화하는 능력   비즈니스와 기술에 대한 이해를 바탕으로 개발 디자인 시스템 관련 타 부서와 원활한 협업을 통한 문제해결 역량   포트폴리오 제출 필수  PPT  notion  google drive등 ,  웹  앱 서비스 기획 및 관련 경력 2년 이상   유관부서와 유연하게 소통하며 논리적으로 설득할 수 있는 능력을 갖춘 분   업무 툴을 능숙하게 사용하시는 분  Sketch  Figma  파워포인트 등    기획 업무에 대한 이해도와 스킬을 보유하신 분   와이어프레임  스토리보드 작성 경험이 있는 분
롸잇,서비스 운영 매니저 (Service Operation Manager),https://www.wanted.co.kr/wd/132611,롸잇은 고숙련 전문가 매칭 플랫폼을 운영하는 HR테크 기업입니다  신뢰있는 인재 매칭 서비스 제공을 통해 유연한 고용 문화를 선도하며  궁극적으로는 사람들이 일하고 기업이 고용하는 방식을 혁신하는 것이 자사의 비전입니다    원포인트는 스타트업과 온라인셀러가 실력 있는 디지털 마케팅 전문가를 시간 단위로 유연하게 활용할 수 있도록 전문가를 검증하고  매칭 해주는 플랫폼입니다  서비스의 시장성과 팀의 실행력을 인정받아  법인 설립 1달 만에 매쉬업엔젤스와 소풍벤처스로부터 시드 투자를 유치했습니다   자체 개발한 전문가 검증 프로세스를 통해 상위 10 의 전문가를 선발하며  산업군  사업 유형  활용 매체 등 20여 개의 세분화된 매칭 기준으로 기업의 특성과 목적에 부합하는 최적의 전문가를 매칭해주는 것이 원포인트의 차별적 강점입니다 ,  서비스 운영 프로세스 전체 총괄  전문가 검증 매칭 계약 고객 관리 등    서비스 운영 프로세스 개선 및 신규 기능 기획  서비스 퀄리티 증대 및 프로세스 효율화    전문가 최적 매칭을 위한 고객사 전문가 내부 팀원 간 커뮤니케이션,  마케팅 분야 1년 이상 경력 보유    대내외 커뮤니케이션 및 모더레이팅 역량 보유,  마케팅 에이전시 AE 컨설턴트 경력을 보유하신 분   HR 플랫폼 근무 경험이 있거나 이해도가 높으신 분    OA 및 IT Tool 활용이 능숙하신 분  Slack Notion Asana Zapier 등 
바톤,UI/UX 기획자 (웹기획자),https://www.wanted.co.kr/wd/64328,바톤은 2013년에 설립되어 웹사이트 구축과 비주얼 브랜딩 영역에서 활동 중인 디지털 에이전시입니다  기능적이고 아름다운 작업을 추구하는 사람들이 모여 일하고 있습니다   웹 에이전시이자 디자인 스튜디오로서의 복합적인 정체성을 바탕으로  기능과 디자인에 대해 분명한 취향과 기준을 가진 브랜드들의 크리에이티브 파트너로서의 입지를 다져가는 중입니다   , 주요업무    웹사이트 PC  amp  Mobile  UI UX 기획 IA 설계  와이어프레임 제작 등    클라이언트 및 팀 내 커뮤니케이션  프로젝트 스케줄 관리   웹사이트 유지관리 프로젝트의 운영   채용절차  1  서류심사  필수제출서류   이력서  자기소개서  포트폴리오  2  과제 및 면접심사 3  최종 합격 발표,  1년 3년의 웹 기획 경력이 있는 분   명료하고 효율적인 글쓰기 역량이 있는 분   Gmail   Google Docs  Sheets  Slides   MS Office 등 오피스 도구 활용에 능숙한 분,  Figma 활용에 능숙한 분   html  CSS  네트워크 등 개발 관련 경험이 있는 분   브랜드 브랜딩 관련 경험이 있는 분 특정 브랜드의 소속이었거나 관련 클라이언트 잡의 경험이 있는 분    커머스 서비스에 대한 경험이 있는 분   워드프레스  카페24 등의 CMS 및 쇼핑몰 솔루션에 대한 경험이 있는 분
라라잡(동네알바),프로덕트 매니저(PM),https://www.wanted.co.kr/wd/109727, 라라잡 소개   미래 워크 플랫폼 동네알바를 만들고 있는 라라잡입니다   동네알바는 20년 11월 출시 이후 현재 100만 다운로드를 넘어섰고  플레이스토어 앱스토어 비즈니스 앱 순위  플레이스토어 최고 매출 앱 순위 10위 이내에 진입하며 빠르게 성장하고 있어요   동네알바는 구인회원과 구직회원이 활동하는 양면 플랫폼이에요  세계 최고의 양면 플랫폼들은 기술과 데이터를 바탕으로 유저들 간에 신뢰가 쌓일 수 있는 장을 만들어 줬다는 공통점이 있어요  라라잡은 서로에 대한 불신이 많은 알바 구인구직 시장에서 기술과 데이터를 활용해 서로를 신뢰할 수 있는 신뢰 플랫폼을 만들어 이 시장의 압도적인 1위 서비스가 되려고 해요   전 세계적으로 일자리가 빠르게 임시직화  온디맨드화 되어감에 따라 알바라고 불리는 일자리 형태가 노동시장에서 차지하는 비중이 점점 커지고 있고  이 시장의 중심에 라라잡이 있을 거에요  저희는 구인구직 서비스를 시작으로 일과 관련된 모든 서비스와 편리함을 제공하는 워크 플랫폼으로 발전해 나가려고 해요   이곳에 적지 못한 저희 팀의 이야기를 여러분들께 직접 해드리고 싶어요  저희와 대화를 나눠보고 싶으시다면 라라잡에 지원해주세요    미션 비전    MISSON   바른 사람과 바른 일자리를 빠르고 정확하게 연결합니다   VISION   사람과 일자리를 한국에서 가장 많이 연결하는 서비스   업무방식  서비스에 애정을 가지고  고객에게 가장 좋은 방식을 찾기 위한 끊임없는 고민과 토론   User driven  Data driven   Agile   Team collaboration   Deep dive    누적 다운로드 100만회 ,  동네알바 프로덕트 기획 및 프로젝트 리드   미션과 비전에 따른 제품 방향성 수립 및 로드맵 구체화   비즈니스 요구사항  VOC  데이터 분석을 바탕으로 문제 정의 및 우선순위 조율   유효한 가설 및 측정 가능한 지표를 설정하고 검증을 통해 문제 해결   위의 과정을 통해 PMF를 찾고 목표를 달성,  모바일 또는 웹 서비스 기획 PM PO 경험이 있는 분   주도적으로 문제를 정의하고 프로덕트를 통해 해결해본 경험이 있는 분   SQL  GA 등의 분석 툴을 활용한 데이터 기반 의사 결정에 능숙하신 분,  투사이드 플랫폼에 대한 이해도가 높으신 분   모바일 또는 웹 서비스의 고속 성장을 경험해 보신 분   채용절차    서류검토   1차 인터뷰   2차 인터뷰   처우협의   최종합격
유커넥,서비스 기획자 (PO/PM 4년~),https://www.wanted.co.kr/wd/91815,유커넥은 2017년 런칭한 국내 1위 유튜브 인플루언서 마케팅 플랫폼  유커넥 Uconnec 의 운영사입니다  1억 6천만 명의 구독자  3 358명의 유튜버와 함께 국내 1위 동영상 인플루언서 애드테크 서비스로 성장하며  퓨처플레이  아모레퍼시픽 등으로부터 투자를 유치하였습니다  인플루언서 이코노미의 미래를 이끌어 나갈 동료분들을 찾고 있습니다    채용절차   서류전형   대면인터뷰 1시간 1시간30분    레퍼런스체크   처우협의   입사  면접일정은 추후 통보됩니다    제출서류   이력서 포트폴리오,  인플루언서 마케팅 서비스 기획 운영 고도화   서비스 정책 및 요구사항 수립 및 화면 기획   서비스 주요 지표 설계 및 관리   서비스 프로젝트 매니지먼트 및 조율   고객 비즈니스 데이터 리서치 기반 서비스 방향성 우선순위 도출   신규 기능 출시 관련 사업 개발 및 제휴 영업 참여,  서비스 기획 운영 PO or PM  경력 4년 이상인 분   개발  디자인  비즈니스 전반에 대한 이해와 오너십을 갖추신 분   데이터를 기반으로 고객의 니즈를 확인하고 서비스를 개선시킬 수 있으신 분   인플루언서  유튜브  마케팅  커머스 경력 및 관심이 많으신 분   고객 문제해결  경험개선을 위해 고객 중심적 사고와 실행을 위한 아이디어가 있으신 분   유커넥의 미션과 비전에 공감하고 함께 성장하며 팀원에게 긍정적인 경험을 공유해 주실 수 있는 분,  인플루언서  애드테크  SaaS 등 서비스 및 솔루션 프로젝트 또는 팀 리드 경험이 있으신 분   서비스개선 및 실행의 과정에서 오는 어려움 가운데서 추진력이 강하신 분   주도적인 일정관리와 업무의 목적성을 이해하고 실행할 수 있는 분   스타트업 창업멤버  개발자  UI UX 디자이너  데이터 애널리스트 경력을 갖추신 분
디지털네이티브스,PM/PO,https://www.wanted.co.kr/wd/127272,많은 사람들의 PC 앱 사용 시간이 늘어나면서  기업의 마케팅 예산은 디지털 광고 시장에 집중되고 있어요   이런 흐름으로  디지털 광고 시장 규모는 지난 5년전 대비 215 나 성장했지만  시장의 거래방식은 아직 많이 낙후되어 있어요   구체적으로 디지털 광고 시장에는 수 천개의 광고 상품이 있지만  정작 구매자는 정보 파편화로 이를 알기 어렵구요   광고 예약  소재 등록  계약  정산도 모두 이메일로 진행되어 구매자와 판매자는 거래에 큰 불편을 겪고 있어요   저희는 이 문제를  기술과 데이터 로 해결하고 있어요   데이터를 활용하여  구매자에게 가장 효과적인 광고를 연결하고 기술을 기반으로 광고 거래 단계를 혁신적으로 축소하는 것을 목표로 해요   아직 아무도 풀지 못했던 디지털 광고 시장의 문제 저희와 함께 도전해봐요 ,fym 서비스 기획 운영 고도화   미션과 비전에 따른 제품 방향성 수립 및 로드맵 구체화   비즈니스 요구사항  VOC  데이터 분석을 바탕으로 문제 정의 및 우선순위 조율   유효한 가설 및 측정 가능한 지표를 설정하고 검증을 통해 문제 해결   Product의 UX 정의  프로토타이핑  사용자 테스트 등 프로덕트 개발  개선 작업 주도   개발자 디자이너와 협업을 통한 프로젝트 운영,  2년 이상의 PM 경력이 있으신 분   개발  디자인  비즈니스 전반에 대한 이해와 오너십을 갖추신 분   주도적인 일정관리와 업무의 목적성을 이해하고 실행할 수 있는 분   데이터를 기반으로 고객의 니즈를 확인하고 서비스를 개선시킬 수 있으신 분,  B2B 플랫폼 서비스 리딩 경험 또는광고 마케팅 시장에 대한 이해가 깊으신 분   스타트업 창업멤버  개발자  UI UX 디자이너  데이터 애널리스트 경험을 갖추신 분   GA4  tableau 등을 활용한 데이터 수집 정제에 능숙하신 분   유저테스트  유저 인터뷰 등 고객 조사를 리딩 가능하신 분   Jira  trello 등을 활용하여 개발 스케줄을 관리해보신 경험이 있으신 분
서밋코퍼레이션,웹 기획자,https://www.wanted.co.kr/wd/131960,서밋코퍼레이션은 안양시 동안구에 위치한 기업으로 IT 개발 경험을 축적하며 성장하고 있습니다  현재는 모바일 개발 본부 안양  및 S Biz 본부 서울 로 나뉘어져 있으며  안양에 위치한 모바일 개발 본부에서는 정부과제 및 R amp D를  서울에 위치한 S Biz 본부에서는 SK렌터카 서비스 운영 업무를 도급 형태로 수행하고 있습니다  작지만 강한 IT 전문가 집단으로서의 자리매김을 위해 구성원에 대한 다양한 복지 지원 및 문화를 만들어 가고 있습니다 ,  웹사이트 운영 및 고도화   요구사항 분석 및 기능 정의   UI UX 스토리보드 기획 및 설계   프로젝트 운영 관리,  경력 1년 이상   학력 무관,  퍼블리싱 경력자 또는 교육이수자   웹에이전시 경험이 있으신 분   대기업 프로젝트 경험이 있으신 분   인근거주자
